Sentence,Score,Stopword
એક મહાન સમાપ્ત કરવા માટે એક મહાન માર્ગ,1,
"આ સોદામાં 5 ટેસ્ટિંગ અને 2 ડ્રિંક્સનો સમાવેશ થાય છે, અને જેફ અમારી અપેક્ષા કરતાં વધુ અને આગળ ગયો",1,
#NAME?,1,
સેવા મેહ હતી,0,
"તેમનો મિલ્કશેક મેળવવામાં 30 મિનિટથી વધુ સમય લાગ્યો, જે ચોકલેટ મિલ્ક સિવાય બીજું કંઈ ન હતું",0,
"મને લાગે છે કે મને ખબર હોવી જોઈએ કે આ સ્થાન શોષી લેશે, કારણ કે તે એક્સકેલિબરની અંદર છે, પરંતુ મેં મારી સામાન્ય સમજનો ઉપયોગ કર્યો નથી",0,
સ્કૉલપ વાનગી મૂલ્ય માટે પણ ખૂબ જ ભયાનક છે,0,
શક્કરીયાની ફ્રાઈસ ખૂબ જ સારી અને મસાલેદાર હતી,1,
આજે બીજી વખત હું તેમના લંચ બફેટમાં ગયો છું અને તે ખૂબ સારું હતું,1,
વેગાસમાં એટલું બધું સારું ફૂડ છે કે રાઇસ એન્ડ કંપનીમાં જઈને ખાવાની તક વેડફવા બદલ મને છેતરાયાનો અનુભવ થાય છે,0,
અહીં આવવું એ એક અણગમતા સંબંધનો અનુભવ કરવા જેવું છે જ્યાં બંને પક્ષો અન્ય વ્યક્તિના સંબંધને તોડવા માટે પૂછે તેની રાહ જોઈ શકતા નથી,0,
અંદર ચાલ્યા ગયા અને જગ્યા જૂની ગ્રીસ ટ્રેપ જેવી દુર્ગંધ મારતી હતી અને ત્યાં માત્ર 2 અન્ય લોકો ખાય છે,0,
ટર્કી અને રોસ્ટ બીફ સૌમ્ય હતા,0,
પાન કેક દરેક વ્યક્તિ છ વર્ષના બાળકના તાળવાને અનુરૂપ ખાંડવાળી આફતની જેમ સ્વાદ માટે ઉત્સાહિત છે,0,
મને ફો અને સ્પ્રિંગ રોલ્સ ગમે છે ઓહ ખૂબ જ સ્વાદિષ્ટ તમારે પ્રયાસ કરવો પડશે,1,
નબળું બેટર ટુ મીટ રેશિયો ચિકન ટેન્ડરને ખૂબ જ અસંતોષકારક બનાવે છે,0,
"સારાંશમાં, આ મોટે ભાગે નિરાશાજનક જમવાનો અનુભવ હતો",0,
"તે તમારા મોંમાં ખરેખર સેક્સી પાર્ટી જેવું છે, જ્યાં તમે પાર્ટીમાં સૌથી હોટ વ્યક્તિ સાથે આક્રોશપૂર્વક ફ્લર્ટિંગ કરી રહ્યાં છો",1,
અમે ફરી ક્યારેય નહીં જઈએ,0,
તે સારું ન હતું,0,
"ઉપરની બાજુએ, તેમનું કાફે ખરેખર સારું ભોજન આપે છે",1,
"એકમાત્ર સારી બાબત એ હતી કે અમારો વેઈટર હતો, તે ખૂબ જ મદદગાર હતો અને બ્લોડી મેરીના આવવાને રાખતો હતો",1,
"શહેરમાં શ્રેષ્ઠ બફેટ, કિંમત માટે તમે તેને હરાવી શકતા નથી",1,
"મને આ વાઇનના ઘટાડામાં રાંધવામાં આવેલા તેમના મસલ્સ ગમ્યા, બતક કોમળ હતી, અને તેમના બટાકાની વાનગીઓ સ્વાદિષ્ટ હતી",1,
આ એક શ્રેષ્ઠ બફેટ્સ છે કે જે હું રહ્યો છું,1,
વાતાવરણ અદ્ભુત છે અને ત્યાં સંગીત વગાડવામાં આવે છે,1,
આગળની સફર બહાર પાછા જશે,1,
"વાસ્તવિક સુશી પ્રેમીઓ, ચાલો પ્રમાણિક બનો - યમ તેટલો સારો નથી",0,
"અમારા ઓર્ડર અને ફૂડ પહોંચતા વચ્ચે ઓછામાં ઓછા 40 મિનિટ પસાર થયા, અને તે એટલું વ્યસ્ત ન હતું",0,
સારા ભાવ,1,
તપાસી જુઓ,1,
મારી પાસે વધુ સારું વાતાવરણ હતું,0,
એક ટુકડો ગડબડ કરવા માટે હાર્ડ પ્રકારની પરંતુ તેઓ કર્યું,0,
"જોકે મને આ સ્થળનો દેખાવ અને અવાજ ખૂબ જ ગમ્યો, વાસ્તવિક અનુભવ થોડો નિરાશાજનક હતો",0,
મને ખબર નથી કે જ્યારે તેઓ ભારતીય રાંધણકળા તૈયાર કરી રહ્યા હોય ત્યારે આ સ્થાને મેં ક્યારેય ખાધું હોય તેટલું સૌમ્ય ભોજન પીરસવામાં કેવી રીતે વ્યવસ્થાપિત થઈ,0,
"બુટ કરવા માટે સૌથી ખરાબ સેવા, પરંતુ તે તેમની ચિંતાઓમાં સૌથી ઓછી છે",0,
સેવા સારી હતી અને વેઇટ્રેસ મૈત્રીપૂર્ણ હતી,1,
"બધા લોકો પાસે સ્ટીક હતા, અને અમારા સ્ટીક પ્રેમાળ પુત્ર કે જેણે શ્રેષ્ઠ અને સૌથી ખરાબ સ્થળોએ સ્ટીક ખાધી છે તેણે કહ્યું કે તે અત્યાર સુધી ખાયેલું શ્રેષ્ઠ સ્ટીક હતું",1,
"અમે વિચાર્યું કે સારી સુશી મેળવવા માટે તમારે વધુ દૂર જવું પડશે, પરંતુ આ સ્થાન ખરેખર તે રાત્રે સ્થળ પર આવી ગયું",1,
"અસાધારણ ખોરાક, સેવા અને વાતાવરણ",1,
હું પાછો નહીં ફરું,0,
"ચોક્કસપણે ડુક્કરનું માંસ પેટ માટે સ્ટ્રીપ બોલ venturing વર્થ, હું વેગાસ છું આગલી વખતે પાછા આવશે",1,
આ સ્થાન સાધારણ ખોરાક માટે ખૂબ જ વધુ પડતું છે,0,
"તેમની પાસે મોટા પ્રમાણમાં મીટલોફ સેન્ડવીચ, ક્રિસ્પી ચિકન રેપ, એક સ્વાદિષ્ટ ટુના મેલ્ટ અને કેટલાક સ્વાદિષ્ટ બર્ગર સહિત ખોરાકની સારી પસંદગી છે",1,
મેનેજમેન્ટ અસંસ્કારી છે,0,
"સ્વાદિષ્ટ NYC બેગલ્સ, ક્રીમ ચીઝની સારી પસંદગી, કેપર્સ સાથે વાસ્તવિક Lox પણ",1,
"ગ્રેટ સબવે, વાસ્તવમાં તે ઘણું સારું છે જ્યારે તમે અહીં આવો છો ત્યારે દરેક અન્ય સબવે તમારી અપેક્ષાઓ પૂરી નહીં કરે",1,
મેં અહીં ગંભીર રીતે નક્કર નાસ્તો કર્યો,1,
આ વેગાસમાં ખોરાક સાથેના શ્રેષ્ઠ બારમાંથી એક છે,1,
"તે અત્યંત અસંસ્કારી હતો અને ખરેખર, એવી ઘણી બીજી રેસ્ટોરન્ટ્સ છે જ્યાં મને વેગાસમાં સપ્તાહાંત દરમિયાન જમવાનું ગમશે",0,
મારું પીણું ક્યારેય ખાલી નહોતું અને તેણે કેટલાક ખરેખર મહાન મેનૂ સૂચનો કર્યા,1,
વેઈટર મદદરૂપ કે મૈત્રીપૂર્ણ ન હતો અને ભાગ્યે જ અમારી તપાસ કરવામાં આવે છે,0,
મારા પતિ અને મેં અહીં બપોરનું ભોજન લીધું અને ભોજન અને સેવાથી ખૂબ નિરાશ થયા,0,
અને લાલ કરીમાં વાંસની ઘણી ડાળીઓ હતી અને તે મારા માટે બહુ સ્વાદિષ્ટ ન હતી,0,
ટોચ પર મોઝનો સરસ ધાબળો છે પરંતુ મને લાગે છે કે આ સબપાર ખોરાકને ઢાંકવા માટે કરવામાં આવ્યું હતું,1,
સ્નાનગૃહ સ્વચ્છ છે અને સ્થળ પોતે જ સુશોભિત છે,1,
"મેનૂ હંમેશા બદલાતું રહે છે, ખોરાકની ગુણવત્તા નીચે જઈ રહી છે અને સેવા અત્યંત ધીમી છે",0,
"સેવા થોડી ધીમી હતી, તે ધ્યાનમાં લેતા કે 3 લોકો સર્વર દ્વારા સેવા આપવામાં આવી હતી તેથી ખોરાક ધીમી ગતિએ આવી રહ્યો હતો",0,
અમે અમારા વેઈટરને અન્ય ટેબલો પર વધુ ધ્યાન આપતા અને અમારી અવગણના કરતા જોયા,0,
હું અને મારી મંગેતર દિવસના મધ્યમાં આવ્યા અને અમને તરત જ આવકારવામાં આવ્યા અને બેઠા,1,
મંડલય ખાડી પર આ એક સરસ રેસ્ટોરન્ટ છે,1,
અમે પિસ્તાલીસ મિનિટ સુધી વ્યર્થ રાહ જોઈ,0,
સલાડ સાથે આવેલ ક્રોસ્ટિની વાસી હતી,0,
સ્ટાફ મૈત્રીપૂર્ણ છે અને સંયુક્ત હંમેશા સ્વચ્છ છે,1,
બીજા દિવસના ટુકડા કરતા આ એક અલગ કટ હતો પરંતુ તે હજુ પણ અદ્ભુત અને કોમળ તેમજ સ્વાદયુક્ત છે,1,
મેં વૂડૂ પાસ્તાનો ઓર્ડર આપ્યો હતો અને ઘણા વર્ષો પહેલા ગ્લુટેન મુક્ત થયા પછી મને ખરેખર ઉત્તમ પાસ્તા મળ્યો હતો,1,
આ જગ્યા સારી છે,1,
"દુર્ભાગ્યવશ, અમે બચેલા દિવસે બેકરી પર હુમલો કર્યો હોવો જોઈએ કારણ કે અમે જે બધું ઓર્ડર કર્યું હતું તે વાસી હતું",0,
તેઓ સ્થાનાંતરિત થયા ત્યારથી હું આજે પાછો આવ્યો છું અને હજુ પણ પ્રભાવિત થયો નથી,0,
હું તરત જ બેસી ગયો,1,
"તેમનું મેનૂ વૈવિધ્યસભર છે, અને વ્યાજબી કિંમતે છે",1,
રેસ્ટોરન્ટ હંમેશા ભરેલી હોય છે પરંતુ ક્યારેય રાહ જોવાની નથી,1,
આ સ્થાન ફોનિક્સ મેટ્રો વિસ્તારમાં ખાવા માટેના શ્રેષ્ઠ સ્થાનોમાંથી એક છે,1,
મારી સાથે આટલો ખરાબ વ્યવહાર ક્યારેય થયો નથી,0,
બેકન હેલા ખારી છે,1,
અમે સ્પિનચ અને એવોકાડો કચુંબર પણ મંગાવ્યું; ઘટકો ઉદાસી હતા અને ડ્રેસિંગનો શાબ્દિક સ્વાદ શૂન્ય હતો,0,
"ખરેખર આ રીતે વેગાસ ફાઇન ડાઇનિંગ બનતું હતું, તે મહિલાઓને આપવામાં આવતા મેનૂમાં જેની કોઈ કિંમતો સૂચિબદ્ધ નથી",1,
વેઇટ્રેસ ખૂબ મૈત્રીપૂર્ણ છે,1,
મેનૂ પરની દરેક વસ્તુ જબરદસ્ત છે અને અમે પણ રોમાંચિત હતા કે તેઓએ અમારી શાકાહારી પુત્રી માટે અદ્ભુત રહેવાની વ્યવસ્થા કરી,1,
"કદાચ મેં તેમને અન્ય સમીક્ષાઓ દ્વારા નક્કી કરીને બંધ રાતે પકડ્યા, પરંતુ હું પાછા જવા માટે પ્રેરિત નથી",0,
અહીંની સેવા ઇચ્છિત થવા માટે ઘણું છોડી દે છે,0,
"વાતાવરણ આધુનિક અને હિપ છે, જ્યારે આરામનો સ્પર્શ જાળવી રાખે છે",1,
"સાપ્તાહિક હૉન્ટ નથી, પરંતુ ચોક્કસપણે દરેક સમયે પાછા આવવાનું સ્થળ",1,
અમે શાબ્દિક રીતે 20 મિનિટ સુધી ત્યાં બેઠા અને કોઈએ અમારો ઓર્ડર લેવાનું કહ્યું નહીં,0,
"બર્ગરમાં બિલકુલ સ્વાદ ન હતો - માંસ પોતે જ એકદમ નમ્ર હતું, બર્ગર વધારે રાંધેલું હતું અને ચારકોલનો સ્વાદ નહોતો",0,
મેં તેને પાછું ન મોકલવાનું પણ નક્કી કર્યું કારણ કે અમારી વેઇટ્રેસને એવું લાગતું હતું કે તેણીને હાર્ટ એટેક આવવાની આરે હતી,0,
તે કદાચ ગંદકી હતી,0,
"આ સ્થાનને પ્રેમ કરો, જ્યારે હું કંઈક સ્વસ્થ ઈચ્છું છું પણ જથ્થા અથવા સ્વાદમાં અભાવ નથી ત્યારે તે સ્થળ પર પહોંચે છે",1,
મેં લેમન રાસ્પબેરી આઈસ કોકટેલનો ઓર્ડર આપ્યો જે અકલ્પનીય પણ હતો,1,
"ખોરાક ચૂસી ગયો, જેની અમને અપેક્ષા હતી પરંતુ તે આપણે કલ્પના કરી શકીએ તે કરતાં વધુ ચૂસી ગયું",0,
રસપ્રદ સરંજામ,1,
મને ખરેખર જે ગમે છે તે ક્રેપ સ્ટેશન છે,1,
બંને એગ રોલ્સ લાજવાબ હતા,1,
"જ્યારે મારો ઓર્ડર આવ્યો, ત્યારે ગાયરોમાંથી એક ગાયબ હતો",0,
"મેં પાંખો સાથે કચુંબર, અને મીઠાઈ માટેનો થોડો આઈસ્ક્રીમ લીધો અને ખૂબ સંતોષની લાગણી છોડી દીધી",1,
મને ખરેખર ખાતરી નથી કે ફોનિક્સ મેગેઝિનના વાચકો દ્વારા જોયને વેલીમાં શ્રેષ્ઠ હોટ ડોગ તરીકે કેવી રીતે મત આપવામાં આવ્યો,0,
શુક્રવારે જીવંત સંગીત સંપૂર્ણપણે મારામારી,0,
મને ક્યારેય વધુ અપમાનિત કે અપમાનિત લાગ્યું નથી,0,
ખૂબ મૈત્રીપૂર્ણ સ્ટાફ,1,
તે ડ્રાઈવ વર્થ છે,1,
"મેં આ સ્થાન વિશે સારી વાતો સાંભળી હતી, પરંતુ તે દરેક આશા કરતાં વધી જાય છે જેનું મેં સપનું જોયું હતું",1,
ગરમ બીયર મદદ કરી ન હતી,0,
ગ્રેટ બ્રંચ સ્પોટ,1,
સેવા મૈત્રીપૂર્ણ અને આમંત્રિત છે,1,
ખૂબ જ સારી લંચ સ્પોટ,1,
હું 1979 થી અહીં રહું છું અને આ પ્રથમ (અને છેલ્લી) વખત જ્યારે મેં આ સ્થાન પર પગ મૂક્યો હતો,0,
અત્યાર સુધીનો સૌથી ખરાબ અનુભવ,0,
આ સ્થાન પર ઑફ નાઈટ હોવી જોઈએ,0,
"બાજુઓ સ્વાદિષ્ટ છે - મિશ્ર મશરૂમ્સ, યુકોન ગોલ્ડ પ્યુરી, સફેદ મકાઈ - બીટસ",1,
"જો તે ભૂલ ક્યારેય દેખાઈ ન હોત તો મેં ખાતરી માટે 4 આપ્યા હોત, પરંતુ દિવાલની બીજી બાજુ જ્યાં આ ભૂલ ચડતી હતી તે રસોડું હતું",0,
"લગભગ 10 મિનિટ માટે, અમે તેના કચુંબર માટે રાહ જોઈ રહ્યા છીએ જ્યારે અમને સમજાયું કે તે ટૂંક સમયમાં આવશે નહીં",0,
મારા મિત્રને સૅલ્મોન ટર્ટાર પસંદ હતું,1,
પાછા નહીં જાવ,0,
ભીનું અને સારું નથી,0,
જમૈકન મોજીટોસ સ્વાદિષ્ટ છે,1,
જે નાના હોય છે અને તેની કિંમત ન હોય,0,
ખોરાક સમૃદ્ધ છે તેથી તે મુજબ ઓર્ડર કરો,1,
"સારો કેસ, ઉત્તમ મૂલ્ય",1,
જડબાના હાડકા માટે સરસ,1,
માઈક મહાન છે,1,
યોગ્ય વોલ્યુમ મેળવવા માટે પ્લગને જમણી બાજુએ લાવવા માટે મારે તેને જિગલ કરવું પડશે,0,
"જો તમારી પાસે ઘણા ડઝન અથવા ઘણા સો સંપર્કો છે, તો પછી તેમાંથી દરેકને એક પછી એક મોકલવાની મજાની કલ્પના કરો",0,
કહેવાની જરૂર નથી કે મેં મારા પૈસા વેડફ્યા,0,
પૈસા અને સમયનો કેટલો બગાડ!,0,
અને અવાજ ગુણવત્તા મહાન છે,1,
અસલ બેટરીથી વિસ્તૃત બેટરી પર જતાં તે ખૂબ જ પ્રભાવિત થયો હતો,1,
"જો બંનેને માત્ર 5+ ફૂટથી અલગ કરવામાં આવ્યા હતા, તો મને હેડસેટમાંથી વધુ પડતો સ્થિર અને ગરબડ અવાજ જોવા લાગ્યો",0,
"ડિઝાઇન ખૂબ જ વિચિત્ર છે, કારણ કે કાનની ""ક્લિપ"" બિલકુલ આરામદાયક નથી",0,
બ્લુ ટૂથ ફોન ધરાવનાર કોઈપણ માટે ખૂબ ભલામણ કરો,1,
અત્યાર સુધી ખૂબ સારું!,1,
મહાન કામ કરે છે!,1,
તે સ્થાન પર એવી રીતે ક્લિક કરે છે જે તમને આશ્ચર્યમાં મૂકે છે કે તે મિકેનિઝમ કેટલો સમય ચાલશે,0,
"હું Motorola ની વેબસાઇટ પર ગયો અને તમામ દિશાઓનું પાલન કર્યું, પરંતુ તેને ફરીથી જોડી શકાયું નહીં",0,
જાહેરાતો સૌથી ભ્રામક છે,0,
મારે હજી આ નવી બેટરીને બે બારની નીચે ચલાવવાની બાકી છે અને તે ત્રણ દિવસ ચાર્જ કર્યા વિના છે,1,
મેં તે મારી માતા માટે ખરીદ્યું હતું અને તેણીને બેટરીમાં સમસ્યા હતી,0,
ગ્રેટ પોકેટ પીસી / ફોન સંયોજન,1,
મારી પાસે આ ફોન હવે 7 મહિનાથી છે અને હું કહી શકું છું કે મારી પાસે આ સૌથી શ્રેષ્ઠ મોબાઇલ ફોન છે,1,
મને નથી લાગતું કે આપેલી સૂચનાઓ મારા માટે મદદરૂપ હતી,0,
લોકો મારી વાત સાંભળી શકતા ન હતા અને મારે ઈયરફોન ખેંચીને ફોન પર વાત કરવી પડી હતી,0,
ચાર્જ રાખતો નથી,0,
"આ વાપરવા માટે એક સરળ નાનો ફોન છે, પરંતુ તૂટવાનું અસ્વીકાર્ય છે",0,
આ પ્રોડક્ટ મારા જેવા લોકો માટે આદર્શ છે જેમના કાન ખૂબ જ સંવેદનશીલ છે,1,
ફ્રીવે સ્પીડ પર ચાલતી કારમાં તે બિનઉપયોગી છે,0,
મારી પાસે આ કરારમાં વધુ બે વર્ષ બાકી છે અને હું આ ફોનને ધિક્કારું છું,0,
તે ખૂબ જ સારી રીતે જાળવી રાખ્યું છે,1,
નબળું ટોક ટાઈમ પ્રદર્શન,0,
નકામું ઉત્પાદન,0,
"તેમાં 2MPનો એક શાનદાર કેમેરો છે, અને ચિત્રો ઉત્તમ અને ઉત્તમ ચિત્ર ગુણવત્તા સાથે સ્પષ્ટ છે",1,
હું આ ઉત્પાદનથી પ્રભાવિત થયો ન હતો,0,
સરસ હેડસેટ યોગ્ય કિંમતે,1,
હું ફક્ત ઓડિયો માટે કચરો સાંભળું છું,0,
ઉત્તમ બ્લૂટૂથ હેડસેટ,1,
તેમના સાચા મગજમાં કોણ આ બેટરી ખરીદશે?,0,
ડ્રોપ કરેલા કૉલ્સ અંગે વેરિઝોન સાથે દલીલ કર્યા પછી અમે બે દિવસ પછી ફોન પરત કર્યા,0,
આ કેસ સારી રીતે બનેલો લાગે છે,1,
બેટરીથી નિરાશ,0,
પર્યાપ્ત મોટેથી નથી અને જોઈએ તે પ્રમાણે ચાલુ થતું નથી,0,
સારી સુરક્ષા અને ફોનને વધુ ભારે નથી બનાવતો,1,
ઉપયોગી કીબોર્ડ વાસ્તવમાં પીડીએને માત્ર સુઘડ ગેજેટને બદલે વાસ્તવિક દુનિયાના ઉપયોગી મશીનમાં ફેરવે છે,1,
આ ફોન ખૂબ જ મજબૂત છે અને મને તેની સાથે ક્યારેય કોઈ મોટી સમસ્યા આવી નથી,1,
ખૂબ નિરાશ,0,
હું 510 થી ખૂબ જ ખુશ છું અને મારા અવાજની ગુણવત્તા અંગે તેમના તરફથી કોઈ ફરિયાદ નથી,1,
ચાલુ અને બંધ માટેના બટન ખરાબ છે,0,
આવશ્યકપણે તમે Microsoft ના ટેક સપોર્ટને ભૂલી શકો છો,0,
"હું ખરેખર આ ફેસપ્લેટ્સની ભલામણ કરું છું કારણ કે તે ખૂબ જ સરસ, ભવ્ય અને ઠંડી લાગે છે",1,
આ હેડફોન્સ એક સરસ શોધ હતા - અને મને લાગે છે કે તે કદાચ છેલ્લા ઘણા વર્ષોમાં મેં કરેલી શ્રેષ્ઠ ખરીદી છે - ગંભીરતાથી,1,
એક અલગ ફોન ખરીદો - પરંતુ આ નહીં,0,
અન્ય પક્ષ તમને સ્પષ્ટ રીતે સાંભળી શકે તે માટે તમારે ફોનને ચોક્કસ ખૂણા પર પકડવો પડશે,0,
MP3 પ્લેયરની એક મોટી ખામી એ છે કે ફોનના ફ્રન્ટ કવર પરના બટનો જે તમને ગીતોને થોભાવવા અને છોડવા દે છે તે થોડી સેકન્ડો પછી લોક થઈ જાય છે,0,
"મેં તેને સક્રિય કર્યાના એક અઠવાડિયા પછી, તે અચાનક મૃત્યુ પામ્યો",0,
તે મોટાભાગના હેડસેટ્સ કરતાં વધુ આરામદાયક લાગે છે કારણ કે હું ચશ્મા પહેરું છું અને તે ક્યારેક માર્ગમાં આવે છે,1,
iPOD માટે પણ સરસ,1,
આ ઉપકરણ ઘણી પરિસ્થિતિઓમાં શ્રેષ્ઠ છે,1,
માઈક કામ કરતું નથી,0,
"મારી BMW 3 શ્રેણીમાં પણ જે એકદમ શાંત છે, મને બીજી વ્યક્તિ શું કહી રહી છે તે સાંભળવામાં તકલીફ થાય છે",0,
ઘર અથવા કામ માટે સરસ ડોકિંગ સ્ટેશન,1,
આ એક સુંદર ફોન છે,1,
આ ઉત્પાદન પ્રેમ,1,
આ એક મહાન નાની વસ્તુ છે,1,
"મને આ ફોન ગમે છે, તે ખૂબ જ સરળ છે અને તેમાં ઘણી બધી સુવિધાઓ છે",1,
હું તેને રોજ પહેરું છું અને તે ખૂબ જ સારી રીતે પકડી રાખે છે,1,
સારો સોદો નથી,0,
"સારી રીતે પેકેજ્ડ, સમયસર પહોંચ્યું, અને હેતુ મુજબ કાર્ય કરે છે",1,
બેટરી ઝડપથી નીચે ચાલે છે,0,
"આ આઇટમ મહાન કામ કર્યું, પરંતુ તે 6 મહિનાના ઉપયોગ પછી તૂટી ગયું",0,
હેડસેટ્સ વાપરવા માટે સરળ છે અને દરેક જણ તેને પસંદ કરે છે,1,
આ ફોન સરસ કામ કરે છે,1,
હેડસેટ્સનું બાંધકામ નબળું છે,0,
"એક પ્રોડક્ટ માટે જેની કિંમત આના જેટલી થાય છે, હું અપેક્ષા રાખું છું કે તે આ વસ્તુ કરતા વધુ સારી અને વધુ સરળતા સાથે કામ કરશે",0,
ખૂબ જ મજબૂત બનાવ્યું,1,
મહાન કામ કર્યું!,1,
કાનની કળીઓ ફક્ત એક કાનમાં સંગીત વગાડે છે,0,
જો તમે આનો કારમાં ઉપયોગ કરવાનું વિચારી રહ્યા છો તો તેને ભૂલી જાવ,0,
મને આ ઉત્પાદન ખૂબ મોટું લાગ્યું,0,
હું મારા નિર્ણયથી ખૂબ જ નિરાશ છું,0,
Motorola RAZR ફોન સાથે એકીકૃત રીતે સંકલિત,1,
"ખરીદનાર સાવચેત રહો, તમે શૌચાલયની નીચે જ પૈસા ફ્લશ કરી શકો છો",0,
ચોક્કસપણે સોદો,1,
કિંમત ખૂબ જ સારી હતી અને મફત શિપિંગ સાથે અને તે બધી સારી ખરીદી હતી,1,
મને મારું માનવામાં આવેલું નવું મોટોરોલા 375 પ્રાપ્ત થયું અને દેખીતી રીતે ફોન અને ચાર્જર વચ્ચે કોઈ મેળ ન હતો,0,
"ગુણ:-સારા કૅમેરા - ખૂબ જ સરસ ચિત્રો, કાળા અને સફેદ અને વધુ જેવી શાનદાર શૈલીઓ પણ ધરાવે છે",1,
"તે એક વિશાળ ડિઝાઇન ખામી છે (જ્યાં સુધી હું તેનો યોગ્ય રીતે ઉપયોગ કરી રહ્યો નથી, જે મને નથી લાગતું કે તે કેસ છે)",0,
મેં આ કાર ચાર્જર માટે ખરીદ્યું છે અને તે કામ કરતું નથી,0,
"બંને છેડે અવાજની ગુણવત્તા ઉત્તમ છે, હું મારી પત્નીને કૉલ કરવા માટે હેડસેટનો ઉપયોગ કરું છું અને મારી પત્નીને મને કૉલ કરવા માટે હેડસેટનો ઉપયોગ કરવા કહું છું !2",1,
આ ફોન સ્લિમ અને લાઇટ છે અને ડિસ્પ્લે સુંદર છે,1,
તે થોડું ગીકી છે પરંતુ મને લાગે છે કે ટોસ્ટ પર તેનું સેક્સ છે અને તે તેની બેટરી એમ્બેડેડ આકર્ષક સ્ટાઇલિશ ચામડાના કેસમાં સેક્સને રોકે છે અને oozes કરે છે,1,
"મહાન ઉત્પાદન, ઝડપી શિપિંગ!",1,
એકદમ મહાન,1,
કીબોર્ડ એ સંપૂર્ણ QWERTY અને મૂળભૂત સેલ ફોન નંબર કીપેડ વચ્ચે એક સરસ સમાધાન છે,1,
તે કાન પર ખૂબ આરામદાયક છે,1,
તે અમારા માટે વિજેતા રહ્યો છે,1,
)સેટઅપ સરળ ન હોઈ શકે,1,
મેં મારા સેલ ફોન માટે અનેક અલગ-અલગ ઇયરપીસ અજમાવી છે અને આ જબરા એ પહેલું છે જે મારા કાનને આરામથી બંધબેસે છે,1,
પર્યાપ્ત મજબૂત સિગ્નલ મેળવી શક્યા નથી,0,
હું મારી ખરીદીથી ખૂબ જ ખુશ છું,1,
ખરાબ ગુણવત્તા,0,
કામ પતાવી દે,1,
મહાન ઓડિયો!,1,
મૂળભૂત રીતે સેવા ખૂબ જ ખરાબ હતી,0,
"તે મારા સેલ ફોન પ્લગમાં કામ કરતું નથી, હું ચાર્જર સાથે ખૂબ જ સેટ છું!",0,
"મારી પાસે ફક્ત થોડા અઠવાડિયા માટે મારું બ્લૂટૂથ છે, પરંતુ મને તે ખરેખર ગમે છે",1,
બીટી હેડસેટ આવી નિરાશાજનક હતી,0,
તે ખૂબ નાનું છે અને તમને ખ્યાલ પણ નથી આવતો કે થોડા સમય પછી તેની આદત પડી જાય છે,1,
સાથે આપવામાં આવેલ સોફ્ટવેર લગભગ તેજસ્વી છે,1,
હેડસેટ સરસ કામ કરે છે અને કોઈપણ નુકસાનને ટાળવા માટે સરસ રીતે પેક કરવામાં આવ્યું હતું,1,
મોટાભાગના Logitech ઇયરબડ હેડસેટ નિષ્ફળ ગયા,0,
કિંમત માટે ખૂબ સારી સામગ્રી,1,
મારું હેડસેટ માત્ર આતુરતાથી કામ કરે છે,1,
મારા ઘરમાં હું ઉપરના માળે કવરેજ છોડી રહ્યો હતો અને મારા ભોંયરામાં કોઈ કવરેજ નથી,0,
કેવો બગાડ,0,
"વિવિધ 2 મિનિટના કૉલ્સ દરમિયાન, મેં 5 ટીપાંનો અનુભવ કર્યો અને તે એવા વિસ્તારમાં હતો કે જ્યાં 5 બાર હતા",0,
ખૂબ નિરાશ,0,
ફોન શાબ્દિક રીતે 2 થી 5 કલાક જેવો ચાર્જ થવામાં કાયમ લે છે,0,
મને આ ફોન એક સંબંધીની ભલામણ પર મળ્યો અને મને આનંદ છે કે મેં તે કર્યો,1,
તેનું સ્વાગત ખૂબ જ નબળું છે,0,
વર્ણનમાંથી સમાવવામાં આવેલ આઇટમ્સ શામેલ નથી,0,
"3 મહિના પછી, સ્ક્રીન અચાનક કાળી થઈ ગઈ",0,
હું વધુ માટે આશા હતી,0,
"ઓડિયો ગુણવત્તા નબળી છે, ખૂબ નબળી છે",0,
મેં $5 વાયરવાળા હેડફોન ખરીદ્યા છે જે આના કરતાં વધુ સારા લાગે છે,0,
આ ફોન કોઈપણ પ્રકારના સંદેશાઓ મોકલવા સાથે ખૂબ જ ઝડપી છે અને મેં ઉપયોગમાં લીધેલા અગાઉના ફોન કરતાં વેબ બ્રાઉઝિંગ નોંધપાત્ર રીતે ઝડપી છે,1,
"સરસ ગુણવત્તાયુક્ત બિલ્ડ, કેટલાક સસ્તા એસ***થી વિપરીત",1,
W810i માત્ર સુપર્બ છે,1,
મહાન ચાર્જર,1,
આ આવશ્યકપણે એક સંચાર સાધન છે જે વાતચીત કરતું નથી,0,
વશીકરણની જેમ કામ કરે છે; તે મને ફોન સાથે મેળવેલ એકની જેમ જ કામ કરે છે,1,
"હું હજી પણ માનું છું કે વાંદરાઓએ હેડફોન બનાવવું જોઈએ નહીં, અમે દેખીતી રીતે જ ડિઝાઇનની નકલ મનુષ્યો પર કરવા માટે પૂરતા ડીએનએ શેર કરતા નથી",0,
મહાન મૂલ્ય,1,
